codigoUc;mesReferencia;valorFatura;dataPagamento;banco
3090656985;01/07/2025;312,45;12/08/2025;C6_BANK
3091314655;01/06/2025;2.208,15;12/08/2025;C6_BANK
3095194198;01/07/2025;788,64;12/08/2025;C6_BANK
4002293699;01/07/2025;613,45;12/08/2025;C6_BANK
3095150950;01/06/2025;90,56;12/08/2025;C6_BANK
3095150950;01/07/2025;182,52;12/08/2025;C6_BANK
3090657265;01/06/2025;220,85;12/08/2025;C6_BANK
3090657265;01/07/2025;361,96;12/08/2025;C6_BANK
3090783930;01/07/2025;681,97;12/08/2025;C6_BANK
3090657453;01/07/2025;584,99;12/08/2025;C6_BANK
3082099467;01/07/2025;1.023,81;12/08/2025;C6_BANK
3090579398;01/07/2025;1.814,24;12/08/2025;C6_BANK
3090579397;01/07/2025;582,11;12/08/2025;C6_BANK
3090667934;01/07/2025;679,25;12/08/2025;C6_BANK
3095589850;01/06/2025;188,94;18/08/2025;C6_BANK
3095589850;01/07/2025;323,71;18/08/2025;C6_BANK
3092636445;01/07/2025;844,17;26/08/2025;C6_BANK
3091314655;01/07/2025;3.157,62;29/08/2025;C6_BANK
3092607662;01/07/2025;1.984,57;01/09/2025;C6_BANK
3095677733;01/07/2025;5.016,78;01/09/2025;C6_BANK
4004082808;01/07/2025;623;04/09/2025;C6_BANK
4002435906;01/07/2025;574,52;04/09/2025;C6_BANK
3090691461;01/08/2025;328,67;09/09/2025;C6_BANK
3095677733;01/08/2025;4.392,34;09/09/2025;C6_BANK
4003698872;01/08/2025;6.360,81;10/09/2025;C6_BANK
3090582274;01/08/2025;2.422,50;10/09/2025;C6_BANK
3091036353;01/07/2025;488,4;10/09/2025;C6_BANK
3090585494;01/07/2025;779,85;15/09/2025;C6_BANK
3093262301;01/07/2025;610,96;15/09/2025;C6_BANK
3095208677;01/07/2025;557,12;15/09/2025;C6_BANK
3095322370;01/07/2025;454,89;15/09/2025;C6_BANK
3095209053;01/07/2025;570,78;15/09/2025;C6_BANK
3095118657;01/07/2025;1.447,40;15/09/2025;C6_BANK
3095046800;01/07/2025;522,38;15/09/2025;C6_BANK
3095046800;01/08/2025;494,93;15/09/2025;C6_BANK
3095156869;01/07/2025;1.014,50;15/09/2025;C6_BANK
3095156869;01/08/2025;814,88;15/09/2025;C6_BANK
3093262301;01/08/2025;183,15;15/09/2025;C6_BANK
3092608534;01/07/2025;188,27;15/09/2025;C6_BANK
3092608534;01/08/2025;170,51;15/09/2025;C6_BANK
3090657265;01/08/2025;282,6;15/09/2025;C6_BANK
3090623032;01/07/2025;270,38;15/09/2025;C6_BANK
3090623032;01/08/2025;256,52;15/09/2025;C6_BANK
3090657453;01/08/2025;453,32;15/09/2025;C6_BANK
3095625622;01/08/2025;136,85;15/09/2025;C6_BANK
3095309146;01/08/2025;3.363,39;15/09/2025;C6_BANK
3092707047;01/08/2025;236,5;15/09/2025;C6_BANK
3095322370;01/08/2025;425,66;15/09/2025;C6_BANK
3090582291;01/08/2025;384,08;15/09/2025;C6_BANK
3095400731;01/08/2025;96,27;15/09/2025;C6_BANK
3093257025;01/08/2025;183,5;15/09/2025;C6_BANK
4003327541;01/08/2025;264,94;15/09/2025;C6_BANK
3090656152;01/08/2025;241,38;15/09/2025;C6_BANK
4003327543;01/08/2025;227;15/09/2025;C6_BANK
3095208677;01/08/2025;438,19;15/09/2025;C6_BANK
3095147868;01/08/2025;263,99;15/09/2025;C6_BANK
3090585494;01/08/2025;809,22;15/09/2025;C6_BANK
4002435906;01/08/2025;247,18;15/09/2025;C6_BANK
4003327542;01/08/2025;76,33;15/09/2025;C6_BANK
3090656985;01/08/2025;225,4;15/09/2025;C6_BANK
3091159533;01/08/2025;407,91;15/09/2025;C6_BANK
3091314655;01/08/2025;2.844,60;15/09/2025;C6_BANK
3095194198;01/08/2025;789,74;15/09/2025;C6_BANK
3095209053;01/08/2025;368,8;15/09/2025;C6_BANK
3090657009;01/08/2025;334,98;15/09/2025;C6_BANK
3095209861;01/08/2025;362,71;15/09/2025;C6_BANK
3095118657;01/08/2025;387,1;15/09/2025;C6_BANK
4002293699;01/08/2025;581,32;15/09/2025;C6_BANK
3095150950;01/08/2025;111,32;15/09/2025;C6_BANK
3085723679;01/07/2025;209,07;18/09/2025;C6_BANK
3085723679;01/08/2025;157,67;18/09/2025;C6_BANK
3090667934;01/08/2025;960,48;23/09/2025;C6_BANK
3090667934;01/09/2025;320,09;23/09/2025;C6_BANK
4004082808;01/08/2025;576,66;27/09/2025;C6_BANK
